ccn,date,updateDate,city,state,postalCode,blocksizedAddress,incidentType,parentIncidentType,narrative
210000727,"03/14/2021, 5:57:00 am","03/16/2021, 9:49:41 am",PALO ALTO,CA,94303,700 Block COLORADO AV,RMS: WARRANT/OTHER AGENCY,Proactive Policing,WARRANT/OTHER AGENCY</br><b>Disposition: </b>MISD. CITATIONReport Date: 2021-03-13 22:57:00
210000719,"03/06/2021, 9:00:00 am","03/16/2021, 1:16:42 am",PALO ALTO,CA,94306,200 Block SHERIDAN AV,RMS: THEFT GRAND/MISC,Theft,THEFT GRAND/MISC</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-13 12:07:00
210000720,"03/13/2021, 8:50:00 am","03/16/2021, 1:16:42 am",PALO ALTO,CA,94303,OREGON EXPY & LOUIS RD,RMS: ACCIDENT PROPERTY DAMAGE,Traffic,ACCIDENT PROPERTY DAMAGE</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-13 01:50:00
210000690,"03/10/2021, 6:30:00 am","03/16/2021, 1:17:20 am",PALO ALTO,CA,94301,200 Block HAMILTON AV,RMS: ASSAULT WITH DEADLY WEAPON,Assault,ASSAULT WITH DEADLY WEAPON</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-09 23:33:00
210000702,"03/12/2021, 2:02:00 am","03/16/2021, 1:17:22 am",PALO ALTO,CA,94301,1 Block UNIVERSITY AV,RMS: PENAL CODE/DISOBEY COURT ORDER,Quality of Life,PENAL CODE/DISOBEY COURT ORDER</br><b>Disposition: </b>ARREST/BOOKEDReport Date: 2021-03-11 19:02:00
210000704,"03/12/2021, 5:05:00 am","03/16/2021, 1:17:23 am",STANFORD,CA,94306,SAM MCDONALD RD & EL CAMINO REAL,RMS: SUICIDE ADULT ATTEMPT/MISC,Emergency,SUICIDE ADULT ATTEMPT/MISC</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-11 22:06:00
210000706,"03/12/2021, 7:26:00 am","03/16/2021, 1:17:23 am",PALO ALTO,CA,94301,1900 Block ALMA ST,RMS: THEFT PETTY/BIKE/BIKE PARTS,Theft,THEFT PETTY/BIKE/BIKE PARTS</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-12 00:29:00
210000709,"03/12/2021, 2:00:00 am","03/16/2021, 1:17:23 am",PALO ALTO,CA,94306,4200 Block MCKELLAR LN,RMS: VANDALISM/FELONY,Property Crime,VANDALISM/FELONY</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-12 15:57:00
210000710,"03/01/2021, 10:00:00 pm","03/16/2021, 1:17:23 am",PALO ALTO,CA,94306,2400 Block EL CAMINO REAL,RMS: MISSING ADULT/MISC,Other,MISSING ADULT/MISC</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-12 17:30:00
210000712,"03/13/2021, 4:22:00 am","03/16/2021, 1:17:23 am",PALO ALTO,CA,94306,CALIFORNIA AV & EL CAMINO REAL,RMS: WARRANT/OTHER AGENCY,Proactive Policing,WARRANT/OTHER AGENCY</br><b>Disposition: </b>MISD. CITATIONReport Date: 2021-03-12 21:22:00
210000713,"03/13/2021, 2:00:00 am","03/16/2021, 1:17:24 am",PALO ALTO,CA,94301,400 Block HIGH ST,RMS: PENAL CODE/MISC,Other,PENAL CODE/MISC</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-12 22:00:00
210000714,"03/13/2021, 6:12:00 am","03/16/2021, 1:17:24 am",PALO ALTO,CA,94304,1100 Block WELCH RD,RMS: PSYCH SUBJECT,Emergency,PSYCH SUBJECT</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-12 23:12:00
210000716,"03/12/2021, 4:00:00 am","03/16/2021, 1:17:24 am",PALO ALTO,CA,94306,3100 Block MIDDLEFIELD RD,RMS: THEFT GRAND/FROM AUTO,Theft from Vehicle,THEFT GRAND/FROM AUTO</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-13 08:00:00
210000717,"03/13/2021, 4:00:00 pm","03/16/2021, 1:17:24 am",PALO ALTO,CA,94303,OREGON EXPY & AGNES WAY,RMS: WARRANT/OTHER AGENCY,Proactive Policing,WARRANT/OTHER AGENCY</br><b>Disposition: </b>MISD. CITATIONReport Date: 2021-03-13 09:00:00
210000718,"03/13/2021, 6:28:00 pm","03/16/2021, 1:17:25 am",PALO ALTO,CA,94306,EL CAMINO REAL & VENTURA AV,RMS: WARRANT/OTHER AGENCY,Proactive Policing,WARRANT/OTHER AGENCY</br><b>Disposition: </b>MISD. CITATIONReport Date: 2021-03-13 11:28:00
210000688,"03/10/2021, 4:01:00 am","03/16/2021, 1:17:20 am",PALO ALTO,CA,94303,800 Block ALTAIRE WK,RMS: BATTERY/SIMPLE,Assault,BATTERY/SIMPLE</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-09 21:01:00
210000693,"03/10/2021, 8:17:00 pm","03/16/2021, 1:17:21 am",PALO ALTO,CA,94301,400 Block UNIVERSITY AV,RMS: THEFT GRAND/SHOPLIFT,Theft,THEFT GRAND/SHOPLIFT</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-10 13:22:00
210000694,"03/11/2021, 1:45:00 am","03/16/2021, 1:17:21 am",PALO ALTO,CA,94301,1400 Block WAVERLEY ST,RMS: FOUND PROPERTY/MISC,Property Crime,FOUND PROPERTY/MISC</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-10 18:45:00
210000695,"03/11/2021, 5:00:00 am","03/16/2021, 1:17:22 am",PALO ALTO,CA,94303,ST FRANCIS DR & EMBARCADERO RD,RMS: TRAFFIC/SUSPENDED LICENSE,Traffic,TRAFFIC/SUSPENDED LICENSE</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-10 22:00:00
210000696,"03/11/2021, 2:00:00 pm","03/16/2021, 1:17:22 am",PALO ALTO,CA,94306,200 Block CALIFORNIA AV,RMS: FOUND PROPERTY/MISC,Property Crime,FOUND PROPERTY/MISC</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-11 07:00:00
210000699,"03/11/2021, 8:08:00 pm","03/16/2021, 1:17:22 am",PALO ALTO,CA,94306,400 Block ALDER LN,RMS: IDENTITY THEFT/MISC.,Proactive Policing,IDENTITY THEFT/MISC.</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-11 13:08:00
210000681,"03/09/2021, 3:25:00 pm","03/16/2021, 1:17:18 am",PALO ALTO,CA,94306,1500 Block ALMA ST,RMS: ACCIDENT PROPERTY DAMAGE,Traffic,ACCIDENT PROPERTY DAMAGE</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-09 08:25:00
210000684,"03/09/2021, 6:37:00 pm","03/16/2021, 1:17:19 am",PALO ALTO,CA,94304,3400 Block HILLVIEW AV,RMS: SUSPICIOUS CIRCUMSTANCE/MISC,Proactive Policing,SUSPICIOUS CIRCUMSTANCE/MISC</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-09 11:57:00
210000687,"03/10/2021, 12:46:00 am","03/16/2021, 1:17:20 am",PALO ALTO,CA,94025,100 Block EL CAMINO REAL,RMS: BURGLARY/SHOPLIFT,Breaking & Entering,BURGLARY/SHOPLIFT</br><b>Disposition: </b>MISD. CITATIONReport Date: 2021-03-09 17:46:00
210000115,"01/08/2021, 1:00:00 am","03/16/2021, 1:16:56 am",PALO ALTO,CA,94303,800 Block SAN ANTONIO RD,RMS: VANDALISM/FELONY,Property Crime,VANDALISM/FELONY</br><b>Disposition: </b>REPORT MADEReport Date: 2021-01-11 12:00:00
210000600,"03/01/2021, 2:39:00 pm","03/12/2021, 1:23:56 am",PALO ALTO,CA,94301,700 Block EL CAMINO REAL,RMS: PENAL CODE/TRESPASS,Property Crime,PENAL CODE/TRESPASS</br><b>Disposition: </b>MISD. CITATIONReport Date: 2021-03-01 07:39:00
210000606,"02/22/2021, 7:00:00 am","03/12/2021, 1:23:57 am",PALO ALTO,CA,94301,300 Block FOREST AV,RMS: MISDEMEANOR/HIT & RUN,Traffic,MISDEMEANOR/HIT & RUN</br><b>Disposition: </b>REPORT MADEReport Date: 2021-02-22 00:00:00
210000682,"03/09/2021, 6:51:00 pm","03/12/2021, 1:24:28 am",PALO ALTO,CA,94306,4200 Block BLOCK EL CAMINO REAL,RMS: N&D/PARAPHERNALIA,Quality of Life,N&D/PARAPHERNALIA</br><b>Disposition: </b>MISD. CITATIONReport Date: 2021-03-09 11:51:00
210000683,"03/09/2021, 7:45:00 pm","03/12/2021, 1:24:29 am",PALO ALTO,CA,94306,2400 Block BIRCH ST,RMS: ACCIDENT PROPERTY DAMAGE,Traffic,ACCIDENT PROPERTY DAMAGE</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-09 12:45:00
210000685,"03/09/2021, 10:08:00 pm","03/12/2021, 1:24:30 am",PALO ALTO,CA,94303,800 Block SAN ANTONIO RD,RMS: VEHICLE/STOLEN,Theft of Vehicle,VEHICLE/STOLEN</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-09 15:08:00
210000689,"03/11/2021, 4:00:00 am","03/12/2021, 1:24:31 am",PALO ALTO,CA,94301,200 Block HAMILTON AV,RMS: DRUNK IN PUBLIC/SOBER CENTER,Other,DRUNK IN PUBLIC/SOBER CENTER</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-10 21:04:00
210000692,"03/10/2021, 6:00:00 pm","03/12/2021, 1:24:32 am",PALO ALTO,CA,94306,600 Block COLLEGE AV,RMS: BICYCLE/SAFEKEEPING,Traffic,BICYCLE/SAFEKEEPING</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-10 11:12:00
218000172,"03/09/2021, 7:00:00 am","03/12/2021, 1:24:43 am",PALO ALTO,CA,94306,300 Block GRANT AV,RMS: THEFT PETTY/BIKE/BIKE PARTS,Theft,THEFT PETTY/BIKE/BIKE PARTS</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-09 00:16:00
210000382,"02/07/2021, 1:40:00 pm","03/11/2021, 1:41:50 am",PALO ALTO,CA,94025,100 Block EL CAMINO REAL,RMS: PSYCH SUBJECT,Emergency,PSYCH SUBJECT</br><b>Disposition: </b>REPORT MADEReport Date: 2021-02-07 06:40:00
210000505,"02/20/2021, 5:30:00 am","03/11/2021, 1:41:55 am",PALO ALTO,CA,94306,OREGON EXPY & HWY 101,RMS: VANDALISM/MISDEMEANOR,Property Crime,VANDALISM/MISDEMEANOR</br><b>Disposition: </b>REPORT MADEReport Date: 2021-02-19 23:06:00
210000592,"02/28/2021, 3:46:00 am","03/11/2021, 1:41:58 am",PALO ALTO,CA,94306,4000 Block EL CAMINO WAY,RMS: BURGLARY/AUTO,Theft from Vehicle,BURGLARY/AUTO</br><b>Disposition: </b>REPORT MADEReport Date: 2021-02-27 22:01:00
210000648,"03/05/2021, 8:40:00 pm","03/11/2021, 1:42:06 am",PALO ALTO,CA,94306,700 Block FLORALES DR,RMS: DUI ADULT/MISC,Traffic,DUI ADULT/MISC</br><b>Disposition: </b>MISD. CITATIONReport Date: 2021-03-05 13:40:00
210000675,"03/08/2021, 8:37:00 pm","03/11/2021, 1:42:10 am",PALO ALTO,CA,94306,4200 Block EL CAMINO REAL,RMS: PSYCH SUBJECT,Emergency,PSYCH SUBJECT</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-08 13:37:00
210000632,"03/04/2021, 8:00:00 am","03/10/2021, 9:03:01 am",PALO ALTO,CA,.,.,RMS: TRAFFIC/SUSPENDED LICENSE,Traffic,TRAFFIC/SUSPENDED LICENSE</br><b>Disposition: </b>MISD. CITATIONReport Date: 2021-03-04 01:00:00
210000627,"02/10/2021, 7:00:00 am","03/10/2021, 1:20:07 am",PALO ALTO,CA,94303,3300 Block KENNETH DR,RMS: SEX CRIME/MISC,Sexual Offense,SEX CRIME/MISC</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-03 13:32:00
210000671,"03/08/2021, 11:17:00 am","03/10/2021, 1:20:08 am",PALO ALTO,CA,94306,200 Block EDLEE AV,RMS: THEFT PETTY/MISC,Theft,THEFT PETTY/MISC</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-08 06:15:00
210000672,"03/08/2021, 2:04:00 pm","03/10/2021, 1:20:07 am",PALO ALTO,CA,94301,300 Block UNIVERSITY AV,RMS: ARSON/MISC,Other,ARSON/MISC</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-08 07:04:00
210000673,"03/08/2021, 5:30:00 pm","03/10/2021, 1:20:07 am",PALO ALTO,CA,94306,4000 Block EL CAMINO WAY,RMS: PSYCH SUBJECT,Emergency,PSYCH SUBJECT</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-08 10:30:00
210000677,"03/06/2021, 1:00:00 am","03/10/2021, 1:20:07 am",PALO ALTO,CA,94304,3300 Block HILLVIEW AV,RMS: FOUND PROPERTY/MISC,Property Crime,FOUND PROPERTY/MISC</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-08 17:00:00
210000679,"03/09/2021, 2:27:00 am","03/10/2021, 1:20:07 am",PALO ALTO,CA,94306,2600 Block EL CAMINO REAL,RMS: DUI ADULT/MISC,Traffic,DUI ADULT/MISC</br><b>Disposition: </b>ARREST/BOOKEDReport Date: 2021-03-08 19:27:00
218000166,"02/22/2021, 1:00:00 am","03/10/2021, 1:20:07 am",PALO ALTO,CA,94301,1100 Block BRYANT ST,RMS: THEFT GRAND/AUTO ACCESSORY,Theft from Vehicle,THEFT GRAND/AUTO ACCESSORY</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-08 14:25:00
210000652,"03/06/2021, 4:31:00 am","03/10/2021, 1:20:17 am",PALO ALTO,CA,94306,3000 Block MIDDLEFIELD RD,RMS: SUSPICIOUS CIRCUMSTANCE/MISC,Proactive Policing,SUSPICIOUS CIRCUMSTANCE/MISC</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-05 21:31:00
210000653,"03/06/2021, 8:05:00 am","03/10/2021, 1:20:17 am",PALO ALTO,CA,94306,EL CAMINO REAL & CALIFORNIA AV,RMS: WARRANT/OTHER AGENCY,Proactive Policing,WARRANT/OTHER AGENCY</br><b>Disposition: </b>MISD. CITATIONReport Date: 2021-03-06 01:05:00
210000654,"03/06/2021, 2:00:00 am","03/10/2021, 1:20:17 am",PALO ALTO,CA,94303,800 Block ALTAIRE WK,RMS: SUSPICIOUS CIRCUMSTANCE/MISC,Proactive Policing,SUSPICIOUS CIRCUMSTANCE/MISC</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-06 07:51:00
210000655,"02/12/2021, 7:01:00 am","03/10/2021, 1:20:18 am",PALO ALTO,CA,94303,700 Block MAYVIEW AV,RMS: THEFT GRAND/MISC,Theft,THEFT GRAND/MISC</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-06 11:01:00
210000656,"03/06/2021, 1:00:00 am","03/10/2021, 1:20:18 am",PALO ALTO,CA,94301,1 Block UNIVERSITY AV,RMS: MISSING ADULT/MISC,Other,MISSING ADULT/MISC</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-05 18:00:00
210000657,"03/06/2021, 8:44:00 pm","03/10/2021, 1:20:18 am",PALO ALTO,CA,94025,100 Block EL CAMINO REAL,RMS: THEFT PETTY/SHOPLIFT,Theft,THEFT PETTY/SHOPLIFT</br><b>Disposition: </b>MISD. CITATIONReport Date: 2021-03-06 13:44:00
210000658,"03/06/2021, 9:15:00 pm","03/10/2021, 1:20:18 am",PALO ALTO,CA,.,200 Block SAND HILL RD,RMS: DRUNK IN PUBLIC/SOBER CENTER,Other,DRUNK IN PUBLIC/SOBER CENTER</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-06 14:18:00
210000659,"03/06/2021, 2:00:00 am","03/10/2021, 1:20:18 am",PALO ALTO,CA,94306,200 Block SHERIDAN AV,RMS: THEFT GRAND/MISC,Theft,THEFT GRAND/MISC</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-06 15:15:00
210000661,"03/07/2021, 3:40:00 am","03/10/2021, 1:20:19 am",PALO ALTO,CA,94306,E CHARLESTON RD & WRIGHT PL,RMS: DRUNK IN PUBLIC ADULT/MISC,Quality of Life,DRUNK IN PUBLIC ADULT/MISC</br><b>Disposition: </b>ARREST/BOOKEDReport Date: 2021-03-06 20:42:00
210000666,"03/07/2021, 6:20:00 pm","03/10/2021, 1:20:19 am",PALO ALTO,CA,94306,500 Block KENDALL AV,RMS: PENAL CODE/TRESPASS,Property Crime,PENAL CODE/TRESPASS</br><b>Disposition: </b>ARREST/BOOKEDReport Date: 2021-03-07 11:20:00
210000667,"03/06/2021, 8:05:00 am","03/10/2021, 1:20:19 am",PALO ALTO,CA,94306,4200 Block EL CAMINO REAL,RMS: BURGLARY/RESIDENTIAL,Breaking & Entering,BURGLARY/RESIDENTIAL</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-07 13:14:00
210000668,"03/06/2021, 3:15:00 am","03/10/2021, 1:20:19 am",PALO ALTO,CA,94306,2900 Block COWPER ST,RMS: SUSPICIOUS CIRCUMSTANCE/MISC,Proactive Policing,SUSPICIOUS CIRCUMSTANCE/MISC</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-05 21:00:00
210000670,"03/08/2021, 4:25:00 am","03/10/2021, 1:20:19 am",PALO ALTO,CA,94303,E BAYSHORE RD & LAURA LN,RMS: N&D/POSSESSION,Quality of Life,N&D/POSSESSION</br><b>Disposition: </b>MISD. CITATIONReport Date: 2021-03-07 21:25:00
218000164,"03/08/2021, 1:00:00 am","03/10/2021, 1:20:27 am",PALO ALTO,CA,94303,MIDTOWN CT & COLORADO AV,RMS: THEFT PETTY/BIKE/BIKE PARTS,Theft,THEFT PETTY/BIKE/BIKE PARTS</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-08 10:51:00
218000167,"03/08/2021, 2:10:00 pm","03/10/2021, 1:20:27 am",PALO ALTO,CA,94304,1600 Block AMHERST WAY,RMS: THEFT GRAND/BIKE/BIKE PARTS,Theft,THEFT GRAND/BIKE/BIKE PARTS</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-08 14:35:00
210000418,"02/10/2021, 7:00:00 am","03/10/2021, 1:20:08 am",PALO ALTO,CA,94306,3900 Block EL CAMINO REAL,RMS: N&D/POSSESSION,Quality of Life,N&D/POSSESSION</br><b>Disposition: </b>MISD. CITATIONReport Date: 2021-02-10 00:20:00
210000427,"02/12/2021, 1:30:00 am","03/10/2021, 1:20:08 am",PALO ALTO,CA,94303,2400 Block LOUIS RD,RMS: THEFT GRAND/AUTO ACCESSORY,Theft from Vehicle,THEFT GRAND/AUTO ACCESSORY</br><b>Disposition: </b>REPORT MADEReport Date: 2021-02-11 21:53:00
210000503,"02/20/2021, 3:20:00 am","03/10/2021, 1:20:09 am",PALO ALTO,CA,94301,1 Block UNIVERSITY AV,RMS: PENAL CODE/MISC,Other,PENAL CODE/MISC</br><b>Disposition: </b>MISD. CITATIONReport Date: 2021-02-19 20:30:00
210000511,"02/20/2021, 3:00:00 am","03/10/2021, 1:20:09 am",PALO ALTO,CA,94306,3800 Block MAGNOLIA DR,RMS: SUSPICIOUS CIRCUMSTANCE/MISC,Proactive Policing,SUSPICIOUS CIRCUMSTANCE/MISC</br><b>Disposition: </b>REPORT MADEReport Date: 2021-02-20 10:35:00
210000512,"02/20/2021, 2:53:00 am","03/10/2021, 1:20:09 am",PALO ALTO,CA,94301,700 Block WAVERLEY ST,RMS: SUSPICIOUS CIRCUMSTANCE/MISC,Proactive Policing,SUSPICIOUS CIRCUMSTANCE/MISC</br><b>Disposition: </b>REPORT MADEReport Date: 2021-02-20 11:08:00
210000633,"03/04/2021, 10:36:00 am","03/10/2021, 1:20:14 am",PALO ALTO,CA,94025,100 Block EL CAMINO REAL,RMS: MUNI CODE/MISC,Proactive Policing,MUNI CODE/MISC</br><b>Disposition: </b>MISD. CITATIONReport Date: 2021-03-04 03:36:00
210000638,"03/04/2021, 4:58:00 pm","03/10/2021, 1:20:15 am",PALO ALTO,CA,94301,300 Block UNIVERSITY AV,RMS: BATTERY/SIMPLE,Assault,BATTERY/SIMPLE</br><b>Disposition: </b>MISD. CITATIONReport Date: 2021-03-04 09:58:00
210000639,"02/20/2021, 2:45:00 pm","03/10/2021, 1:20:15 am",PALO ALTO,CA,94025,MIDDLEFIELD RD & PALO ALTO AV,RMS: ACCIDENT PROPERTY DAMAGE,Traffic,ACCIDENT PROPERTY DAMAGE</br><b>Disposition: </b>REPORT MADEReport Date: 2021-02-20 07:45:00
210000646,"02/27/2021, 5:30:00 pm","03/10/2021, 1:20:16 am",PALO ALTO,CA,94301,300 Block FOREST AV,RMS: IDENTITY THEFT/CREDIT CARDS,Proactive Policing,IDENTITY THEFT/CREDIT CARDS</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-05 09:24:00
210000647,"03/05/2021, 8:00:00 pm","03/10/2021, 1:20:17 am",PALO ALTO,CA,94301,1 Block EMBARCADERO RD,RMS: VEHICLE/STOLEN,Theft of Vehicle,VEHICLE/STOLEN</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-05 13:00:00
210000649,"01/29/2021, 7:00:00 am","03/10/2021, 1:20:17 am",PALO ALTO,CA,94306,3400 Block MIDDLEFIELD RD,RMS: THEFT GRAND/SCAM,Theft,THEFT GRAND/SCAM</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-05 13:30:00
210000651,"03/05/2021, 11:00:00 pm","03/10/2021, 1:20:17 am",PALO ALTO,CA,94301,800 Block EL CAMINO REAL,RMS: VEHICLE/RECOVERED,Vehicle Recovery,VEHICLE/RECOVERED</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-05 16:00:00
218000165,"03/07/2021, 11:00:00 pm","03/10/2021, 1:20:27 am",PALO ALTO,CA,94303,FABER PL & EMBARCADERO RD,RMS: THEFT PETTY/FROM AUTO,Theft from Vehicle,THEFT PETTY/FROM AUTO</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-08 03:25:00
218000168,"03/06/2021, 2:00:00 pm","03/10/2021, 1:20:27 am",PALO ALTO,CA,94301,1200 Block DANA AV,RMS: VANDALISM/FELONY,Property Crime,VANDALISM/FELONY</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-07 14:37:00
218000169,"03/03/2021, 8:40:00 pm","03/10/2021, 1:20:28 am",PALO ALTO,CA,94025,100 Block EL CAMINO REAL,RMS: THEFT PETTY/BIKE/BIKE PARTS,Theft,THEFT PETTY/BIKE/BIKE PARTS</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-06 19:55:00
218000170,"03/05/2021, 2:55:00 pm","03/10/2021, 1:20:28 am",PALO ALTO,CA,94301,900 Block BRYANT ST,RMS: LOST PROPERTY/MISC,Property Crime,LOST PROPERTY/MISC</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-05 15:38:00
218000171,"02/22/2021, 12:25:00 am","03/10/2021, 1:20:28 am",PALO ALTO,CA,94303,900 Block EMBARCADERO RD,RMS: THEFT GRAND/AUTO ACCESSORY,Theft from Vehicle,THEFT GRAND/AUTO ACCESSORY</br><b>Disposition: </b>REPORT MADEReport Date: 2021-02-23 17:41:00
210000270,"01/28/2021, 10:41:00 am","03/10/2021, 1:20:07 am",PALO ALTO,CA,94304,4200 Block FOOTHILL EXPY,RMS: ACCIDENT MINOR INJURY,Traffic,ACCIDENT MINOR INJURY</br><b>Disposition: </b>REPORT MADEReport Date: 2021-01-28 03:41:00
210000367,"02/05/2021, 7:00:00 am","03/10/2021, 1:20:08 am",PALO ALTO,CA,94301,400 Block WAVERLEY ST,RMS: THEFT PETTY/SHOPLIFT,Theft,THEFT PETTY/SHOPLIFT</br><b>Disposition: </b>MISD. CITATIONReport Date: 2021-02-05 04:31:00
218000159,"03/04/2021, 5:00:00 am","03/09/2021, 8:23:12 am",PALO ALTO,CA,94306,2800 Block ALMA ST,RMS: THEFT PETTY/BIKE/BIKE PARTS,Theft,THEFT PETTY/BIKE/BIKE PARTS</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-04 22:28:00
218000160,"02/21/2021, 5:15:00 pm","03/09/2021, 8:23:12 am",PALO ALTO,CA,94306,400 Block EL VERANO AV,RMS: THEFT GRAND/AUTO ACCESSORY,Theft from Vehicle,THEFT GRAND/AUTO ACCESSORY</br><b>Disposition: </b>REPORT MADEReport Date: 2021-02-24 10:20:00
218000161,"03/04/2021, 2:00:00 pm","03/09/2021, 8:23:12 am",PALO ALTO,CA,94025,100 Block EL CAMINO REAL,RMS: THEFT GRAND/AUTO ACCESSORY,Theft from Vehicle,THEFT GRAND/AUTO ACCESSORY</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-04 14:29:00
218000162,"03/04/2021, 5:00:00 am","03/09/2021, 8:23:12 am",PALO ALTO,CA,94301,300 Block SANTA RITA AV,RMS: THEFT PETTY/FROM AUTO,Theft from Vehicle,THEFT PETTY/FROM AUTO</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-04 09:42:00
218000163,"03/02/2021, 7:00:00 am","03/09/2021, 8:23:13 am",PALO ALTO,CA,94303,1700 Block EMBARCADERO RD,RMS: VANDALISM/FELONY,Property Crime,VANDALISM/FELONY</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-03 10:00:00
210000539,"02/23/2021, 4:00:00 am","03/06/2021, 12:35:07 am",PALO ALTO,CA,94301,100 Block SEALE AV,RMS: THEFT PETTY/BIKE/BIKE PARTS,Theft,THEFT PETTY/BIKE/BIKE PARTS</br><b>Disposition: </b>REPORT MADEReport Date: 2021-02-23 09:00:00
210000611,"02/07/2021, 7:00:00 am","03/06/2021, 12:35:07 am",PALO ALTO,CA,94301,800 Block HOMER AV,RMS: CHILD ABUSE/PHYSICAL,Other,CHILD ABUSE/PHYSICAL</br><b>Disposition: </b>REPORT MADEReport Date: 2021-02-19 15:09:00
210000620,"03/03/2021, 12:50:00 am","03/06/2021, 12:35:07 am",PALO ALTO,CA,94306,2700 Block BYRON ST,RMS: FAMILY VIOLENCE/MISC,Other,FAMILY VIOLENCE/MISC</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-02 17:59:00
210000628,"02/02/2021, 3:00:00 pm","03/06/2021, 12:35:07 am",PALO ALTO,CA,94303,1100 Block AMARILLO AV,RMS: THEFT PETTY/MISC,Theft,THEFT PETTY/MISC</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-03 16:13:00
210000629,"03/04/2021, 1:15:00 am","03/06/2021, 12:35:07 am",PALO ALTO,CA,94301,400 Block UNIVERSITY AV,RMS: PETTY THEFT,Theft,PETTY THEFT</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-03 18:29:00
210000630,"03/04/2021, 3:32:00 am","03/06/2021, 12:35:07 am",PALO ALTO,CA,94306,3400 Block RAMONA ST,RMS: N&D/MISC,Quality of Life,N&D/MISC</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-03 20:32:00
210000637,"03/04/2021, 3:46:00 pm","03/06/2021, 12:35:07 am",PALO ALTO,CA,94301,2300 Block WEBSTER ST,RMS: VEHICLE/STOLEN,Theft of Vehicle,VEHICLE/STOLEN</br><b>Disposition: </b>REPORT MADEReport Date: 2021-03-04 08:46:00
210000642,"03/05/2021, 12:48:00 am","03/06/2021, 12:35:07 am",PALO ALTO,CA,94301,300 Block LYTTON AV,RMS: N&D/UNDER INFLUENCE,Quality of Life,N&D/UNDER INFLUENCE</br><b>Disposition: </b>ARREST/BOOKEDReport Date: 2021-03-04 17:48:00
210000643,"03/05/2021, 1:57:00 am","03/06/2021, 12:35:07 am",PALO ALTO,CA,94306,4200 Block EL CAMINO REAL,RMS: WARRANT/OTHER AGENCY,Proactive Policing,WARRANT/OTHER AGENCY</br><b>Disposition: </b>ARREST/BOOKEDReport Date: 2021-03-04 18:57:00
