PK,CCR,HIERARCHY,INCIDENTTIME,incident_year,incident_month,incident_day_of_week,incident_time_12hr,incident_hour,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
249333636,21060386,14,2021-03-26T12:00:00Z,2021,March,Friday,12:00 PM,12 PM,"2600 Block Brownsville Rd Pittsburgh, PA 15227",N,Carrick,3,CRIM MISCHIEF,3304 Criminal Mischief.,2904,4,3,-79.9788043658311,40.3854502648648
249340382,21060439,27,2021-04-09T14:00:00Z,2021,April,Friday,02:00 PM,02 PM,"400 Block Semple St Pittsburgh, PA 15213",N,Central Oakland,4,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,406,3,3,-79.9549960756376,40.4369396794834
249341300,21060461,11,2021-04-09T00:01:00Z,2021,April,Friday,12:01 AM,12 AM,"2400 Block Brownsville Rd Pittsburgh, PA 15210",N,Carrick,3,IDENTITY THEFT,4120 Identity Theft,2904,4,3,-79.9835557643587,40.3869345976778
249343142,21060498,27,2021-04-09T15:25:00Z,2021,April,Friday,03:25 PM,03 PM,"100 Block Meyran Ave Pittsburgh, PA 15213",N,Central Oakland,4,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,405,3,3,-79.9591555942238,40.4412480614625
249343121,21060467,11,2021-04-09T15:30:00Z,2021,April,Friday,03:30 PM,03 PM,"5600 Block Phillips Ave Pittsburgh, PA 15217",N,Squirrel Hill South,4,CREDIT CARDS,4106 Access Device Fraud / 4120 Identity Theft,1413,5,3,-79.927459764613,40.4310266690662
249343270,21060469,6,2021-04-09T15:45:00Z,2021,April,Friday,03:45 PM,03 PM,"3800 Block Bigelow Blvd Pittsburgh, PA 15213",N,North Oakland,4,THEFT FROM AUTO,3934 Theft from Vehicle / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,507,6,3,-79.9550754048581,40.4568336195834
249343643,21060497,3,2021-04-09T16:30:00Z,2021,April,Friday,04:30 PM,04 PM,"600 Block Wood  St Pittsburgh, PA 15222",N,Central Business District,2,ROBBERY,3701 Robbery. / 2701 Simple Assault.,201,6,6,-79.9994765276478,40.4421288537324
249344066,21060510,99,2021-04-09T16:30:00Z,2021,April,Friday,04:30 PM,04 PM,"Murray Ave & Wilkins Ave Pittsburgh, PA 15217",N,Squirrel Hill North,4,FOUND PROPERTY,9489 Found Property,1403,8,3,-79.92386945841,40.4439641899323
249344307,21059755,0,2021-04-08T17:15:00Z,2021,April,Thursday,05:15 PM,05 PM,"500 Block Berkshire Ave Pittsburgh, PA 15226",N,Brookline,6,99,9999 9999 - (Misc. Incident): 9999 - (Misc. Incident): welfare check,1918,4,5,-80.0240769755172,40.3954833692831
249344356,21060494,18,2021-04-09T16:24:00Z,2021,April,Friday,04:24 PM,04 PM,"300 Block S Main St Pittsburgh, PA 15220",Y,West End,6,STOLEN PROPERTY - OTHER,13(a)(32) Paraphernalia - Use or Possession / 13(a)(16) Possession of Controlled Substance / 13(a)(16) Possession of Controlled Substance / 5505 Public Drunkenness,2019,7,2,-79.9579476679689,40.4673830136992
249345816,21060547,11,2021-04-07T00:01:00Z,2021,April,Wednesday,12:01 AM,12 AM,"70 Block S 27th St Pittsburgh, PA 15203",N,South Side Flats,3,IDENTITY THEFT,4120 Identity Theft,1609,3,3,-79.9683764702142,40.4243050128077
248389550,21052309,14,2021-03-28T12:30:00Z,2021,March,Sunday,12:30 PM,12 PM,"4900 Block Centre Ave Pittsburgh, PA 15213",N,Bloomfield,5,CRIM MISCHIEF (GRAFFITI),"3304(a)(4) CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti, Aerosol Spray Paint, Broad Tip Marker, or Similar)",804,8,2,-79.9466344550393,40.4531430674934
248642631,21054304,0,2021-03-31T14:43:00Z,2021,March,Wednesday,02:43 PM,02 PM,"Monastery St & St Thomas St Pittsburgh, PA 15203",N,South Side Slopes,3,99,9999 9999 - (Misc. Incident):,1706,3,3,-79.9855299916951,40.4234465580431
248753428,20221868,99,2021-04-01T18:00:00Z,2021,April,Thursday,06:00 PM,06 PM,"800 Block E Warrington Ave Pittsburgh, PA 15210",N,Allentown,3,DRUG INVESTIGATION,9124 Drug Investigation,1803,3,5,-79.9937050598573,40.4218022561637
248764412,21055252,3,2021-04-02T00:06:00Z,2021,April,Friday,12:06 AM,12 AM,"1200 Block Woods Run Ave Pittsburgh, PA 15212",Y,Brighton Heights,1,ROBBERY,3701 Unattended Motor Vehicle. / 2702 Aggravated Assault. / 5505 Public Drunkenness / 5503(a)(3) DISORDERLY CONDUCT - OBSCENE LANG/GEST / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF / 5506 Loitering and Prowling at Night / 3809(a) Restriction on Alcoholic Beverages in Vehicle / 3354 Additional Parking Regulations. / 3353 Prohibitions in Specified Places. / 601.10 (a) Spitting,2708,,,-79.8836651865202,40.4453528891864
248775408,21055356,0,2021-04-02T07:00:00Z,2021,April,Friday,07:00 AM,07 AM,"Highland Dr & Washington Blvd Pittsburgh, PA 15206",N,Lincoln-Lemington-Belmar,5,99,9999 9999 - (Misc. Incident): 9999 - (Misc. Incident):,1201,9,2,-79.9082784786417,40.4742241616276
249504965,21062584,11,2021-04-12T00:01:00Z,2021,April,Monday,12:01 AM,12 AM,"1100 Block Muldowney Ave Pittsburgh, PA 15207",N,Lincoln Place,4,IDENTITY THEFT,4120 Identity Theft,3102,5,3,-79.9173489798902,40.3685662006421
249507417,21062596,27,2021-04-10T00:01:00Z,2021,April,Saturday,12:01 AM,12 AM,"S 19th St & Mary St Pittsburgh, PA 15203",N,South Side Flats,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1702,3,3,-79.9794116731078,40.4259880225567
249508430,21062597,14,2021-04-12T00:01:00Z,2021,April,Monday,12:01 AM,12 AM,"2200 Block Valera St Pittsburgh, PA 15210",N,Carrick,3,CRIM MISCHIEF,3304 Criminal Mischief.,2904,4,3,-79.9883450761441,40.3901779222416
249509025,21062603,27,2021-04-12T17:03:00Z,2021,April,Monday,05:03 PM,05 PM,"5700 Block Forbes Ave Pittsburgh, OH 15217",N,Squirrel Hill South,4,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1413,5,3,-79.9252187225136,40.4373968636582
249509556,21062620,99,2021-04-11T12:00:00Z,2021,April,Sunday,12:00 PM,12 PM,"Sageman Ave & Sussex Ave Pittsburgh, PA 15226",N,Brookline,6,LOST PROPERTY,9504 Lost Property,1918,,,-80.0169297799433,40.3859573352795
249514521,21062648,11,2021-04-12T00:01:00Z,2021,April,Monday,12:01 AM,12 AM,"1200 Block Elwell St Pittsburgh, PA 15207",N,Lincoln Place,4,IDENTITY THEFT,4120 Identity Theft,3102,5,3,-79.9155644128248,40.3695327358778
249515278,21062636,0,2021-04-05T22:05:00Z,2021,April,Monday,10:05 PM,10 PM,"4200 Block Sherrod St Pittsburgh, PA 15201",N,Central Lawrenceville,2,99,9999 9999 - (Misc. Incident):,902,7,2,-79.9565457824127,40.467572303795
247741145,21046654,0,2021-03-20T00:30:00Z,2021,March,Saturday,12:30 AM,12 AM,"7100 Block Highland Dr Pittsburgh, PA 15206",N,Lincoln-Lemington-Belmar,5,99,9994 PFA Service,1203,9,2,-79.9006100851944,40.4786638315851
247741396,21046730,0,2021-03-20T02:34:00Z,2021,March,Saturday,02:34 AM,02 AM,"700 Block N Negley Ave Pittsburgh, PA 15206",N,East Liberty,5,99,9999 9999 - (Misc. Incident):,1113,9,2,-79.9266960314998,40.4698183744927
247742088,21046747,0,2021-03-20T03:17:00Z,2021,March,Saturday,03:17 AM,03 AM,"2200 Block Sarah St Pittsburgh, PA 15203",N,South Side Flats,3,99,9998 Overdose Other,1609,3,3,-79.9745994066805,40.4272550585301
247966313,21048214,10,2021-03-22T15:50:00Z,2021,March,Monday,03:50 PM,03 PM,"2200 Block Brownsville Rd Pittsburgh, PA 15210",Y,Carrick,3,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",2902,4,3,-79.9869130439349,40.3911850619477
248054112,21048838,23,2021-03-23T15:30:00Z,2021,March,Tuesday,03:30 PM,03 PM,"2100 Block E Carson St Pittsburgh, PA 15203",Y,South Side Flats,3,PUBLIC DRUNKENESS,5505 Public Drunkenness,1609,3,3,-79.9760719669211,40.4283146103026
248056749,21048966,14,2021-03-23T01:30:00Z,2021,March,Tuesday,01:30 AM,01 AM,"7500 Block Bennett St Pittsburgh, PA 15208",N,Homewood South,5,CRIM MISCHIEF,3304 Criminal Mischief.,1304,9,2,-79.8922074155482,40.4552838255438
248177794,21049845,99,2021-03-24T23:42:00Z,2021,March,Wednesday,11:42 PM,11 PM,"900 Block Steuben St Pittsburgh, PA 15220",Y,Elliott,6,MENTAL 201/302,9498 302 (Mental),2020,2,5,-80.0416685798356,40.4424265800231
249271638,21059855,6,2021-04-08T17:30:00Z,2021,April,Thursday,05:30 PM,05 PM,"5100 Block Cypress St Pittsburgh, PA 15224",N,Bloomfield,5,THEFT,3921 Theft by Unlawful Taking or Disposition.,804,7,2,-79.943821241347493,40.4569747307739
249272301,21059860,27,2021-04-08T18:30:00Z,2021,April,Thursday,06:30 PM,06 PM,"S 17th St & Bingham St Pittsburgh, PA 15203",N,South Side Flats,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1702,3,3,-79.981986260798,40.42946883359
249273027,21059883,0,2021-04-08T19:31:00Z,2021,April,Thursday,07:31 PM,07 PM,"Reservoir Dr & N Highland Ave Pittsburgh, PA 15206",Y,Highland Park,5,DUI - GENERAL IMPAIRMENT,1786 Required Financial Responsibility. / 3802(a)(1) DUI - General Impairment,1106,7,2,-79.9159397694808,40.4788428069147
249274373,21059940,0,2021-04-08T20:14:00Z,2021,April,Thursday,08:14 PM,08 PM,"3800 Block Beechwood Blvd Pittsburgh, PA 15217",N,Greenfield,4,99,9999 9999 - (Misc. Incident):,1517,5,3,-79.9301308215188,40.4282564221848
249274655,21059927,10,2021-04-08T20:15:00Z,2021,April,Thursday,08:15 PM,08 PM,"600 Block Mayville Ave Pittsburgh, PA 15226",N,Brookline,6,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",1917,4,5,-80.0144620276275,40.4015150791258
249275096,21059941,10,2021-04-08T19:55:00Z,2021,April,Thursday,07:55 PM,07 PM,"1000 Block Fort Duquesne Blvd Pittsburgh, PA 15222",N,Central Business District,2,HARRASSMENT,2709 Harassment (Non-Specific),201,6,6,-79.9952482142447,40.4455188609599
249276405,21059938,6,2021-04-08T20:23:00Z,2021,April,Thursday,08:23 PM,08 PM,"5500 Block Centre Ave Pittsburgh, PA 15232",N,Shadyside,4,THEFT,3921 Theft by Unlawful Taking or Disposition.,709,8,2,-79.9364516460773,40.4565706706801
249278328,21059933,4,2021-04-08T22:00:00Z,2021,April,Thursday,10:00 PM,10 PM,"1700 Block Belleau Dr Pittsburgh, PA 15212",N,Fineview,1,SIMPLE ASSAULT,2707.1 Discharge of a Firearm into Occupied Structure / 3304 Criminal Mischief. / 8106 Shots Fired,2509,6,1,-80.0069833937371,40.460310552493
249280450,21059921,27,2021-04-08T20:25:00Z,2021,April,Thursday,08:25 PM,08 PM,"500 Block East Ohio St Pittsburgh, PA 15212",N,East Allegheny,1,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2304,1,1,-80.0005722739975,40.4535002610431
249298353,21060162,99,2021-04-09T06:00:00Z,2021,April,Friday,06:00 AM,06 AM,"40th St & Penn Ave Pittsburgh, PA 15201",N,Lower Lawrenceville,2,AIDED CASE,9497 Aided Case,603,7,2,-79.9579648681278,40.4651905400366
247738808,21046604,0,2021-03-19T22:26:00Z,2021,March,Friday,10:26 PM,10 PM,"2100 Block Park Hill Dr Pittsburgh, PA 15221",N,East Hills,5,99,9999 9999 - (Misc. Incident): Welfare Check,1306,9,2,-79.8740675554629,40.4532044463424
248058197,21049000,10,2021-03-23T19:41:00Z,2021,March,Tuesday,07:41 PM,07 PM,"700 Block Excelsior St Pittsburgh, PA 15210",Y,Allentown,3,HARRASSMENT,2709(a)(3) Harassment No Legitimate Purpose,1803,3,5,-79.995806324577,40.422758263654
248140630,21049551,29,2021-03-24T15:22:00Z,2021,March,Wednesday,03:22 PM,03 PM,"500 Block Finley St Pittsburgh, PA 15206",N,Larimer,5,RUNAWAYS - JUVENILE,029 Missing Juvenile,1208,9,2,-79.9080221905959,40.4604364976955
-3413050405,21049576,27,2021-03-24T16:00:00Z,2021,March,Wednesday,04:00 PM,04 PM,"400 Block Bailey Ave Pittsburgh, PA 15211",N,Mount Washington,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1807,3,5,-79.9998207026968,40.4266947312432
248167776,21049649,10,2021-03-24T17:35:00Z,2021,March,Wednesday,05:35 PM,05 PM,"6400 Block Penn Ave Pittsburgh, PA 15206",Y,East Liberty,5,SIMPLE ASSAULT,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 2701 Simple Assault.",1115,9,2,-79.917435063919,40.4575134909614
248167897,21049654,0,2021-03-24T18:00:00Z,2021,March,Wednesday,06:00 PM,06 PM,"900 Block Neidel St Pittsburgh, PA 15220",N,Elliott,6,99,9999 9999 - (Misc. Incident): suspicious person - poss drug activity,2020,2,5,-80.0421396174555,40.4420100990497
249250478,21059667,10,2021-04-07T16:45:00Z,2021,April,Wednesday,04:45 PM,04 PM,"2600 Block Webster Ave Pittsburgh, PA 15219",Y,Bedford Dwellings,2,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",509,6,3,-79.9709418991142,40.4501331342241
249277801,21059928,99,2021-04-08T20:23:00Z,2021,April,Thursday,08:23 PM,08 PM,"7300 Block Frankstown Ave Pittsburgh, PA 15208",N,Homewood North,5,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),1302,9,2,-79.8941108231131,40.4569083893921
249278231,21059004,11,2021-04-07T15:30:00Z,2021,April,Wednesday,03:30 PM,03 PM,"900 Block Berkshire Ave Pittsburgh, PA 15226",N,Brookline,6,CREDIT CARDS,4106 Access Device Fraud,1918,4,5,-80.019919981023,40.3922401139267
249285127,21060059,10,2021-04-09T00:59:00Z,2021,April,Friday,12:59 AM,12 AM,"1700 Block Pioneer Ave Pittsburgh, PA 15226",Y,Brookline,6,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",1917,4,5,-80.0150964856379,40.4072427737276
249286967,21060076,10,2021-04-09T01:45:00Z,2021,April,Friday,01:45 AM,01 AM,"1500 Block E Carson St Pittsburgh, PA 15203",Y,South Side Flats,3,RECKLESSLY ENDANGER ANOTH PER,2705 Recklessly Endangering Another Person. / 2701(a)(3) Simple Assault - Attempts by Physical Menace  / 6106 Firearms not to be Carried without a License.,1702,3,3,-79.9833100173741,40.4286928036566
249340766,21059903,10,2021-04-08T20:12:00Z,2021,April,Thursday,08:12 PM,08 PM,"2400 Block West Liberty Ave Pittsburgh, PA 15226",Y,Beechview,6,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",1920,4,5,-80.0242400736428,40.3998041585528
247741414,21046674,10,2021-03-20T00:44:00Z,2021,March,Saturday,12:44 AM,12 AM,"20 Block Carrick Ave Pittsburgh, PA 15210",Y,Carrick,3,SIMPLE ASSAULT,2701 Simple Assault.,2904,4,3,-79.9827053206258,40.3876699183378
247976189,21048366,99,2021-03-22T20:32:00Z,2021,March,Monday,08:32 PM,08 PM,"1000 Block Brushton Ave Pittsburgh, PA 15221",N,Homewood North,5,NON-VIOLENT DOMESTIC,9012 Non-Violent Domestic,1301,9,2,-79.887729584877,40.4565467004881
249347161,21060533,14,2021-04-09T17:30:00Z,2021,April,Friday,05:30 PM,05 PM,"6900 Block Bennett St Pittsburgh, PA 15208",N,Homewood West,5,CRIM MISCHIEF,3304 Criminal Mischief.,1207,9,2,-79.9043391827833,40.4580474895125
249348229,21060552,0,2021-04-09T18:02:00Z,2021,April,Friday,06:02 PM,06 PM,"6900 Block Bennett St Pittsburgh, PA 15208",N,Homewood West,5,99,9999 9999 - (Misc. Incident): Found casing,1207,9,2,-79.9043391827833,40.4580474895125
249350025,21060604,11,2021-04-09T19:30:00Z,2021,April,Friday,07:30 PM,07 PM,"1400 Block Rutherford Ave Pittsburgh, PA 15216",N,South Shore,6,CREDIT CARDS,4120 Identity Theft / 4106 Access Device Fraud,1921,4,5,-80.0269583894279,40.4141790662715
249350636,21060550,24,2021-04-09T18:07:00Z,2021,April,Friday,06:07 PM,06 PM,"5500 Block Beverly Pl Pittsburgh, PA 15206",N,Highland Park,5,FALSE ALARMS AGENCIES PUB SAF,4905 False Alarms to Agencies of Public Safety.,1102,7,2,-79.926416363713,40.4770047729818
249350713,21060638,0,2021-04-09T00:01:00Z,2021,April,Friday,12:01 AM,12 AM,"1600 Block Harpster St Pittsburgh, PA 15212",N,Troy Hill,1,99,9999 9999 - (Misc. Incident):,2406,1,1,-79.9840738436592,40.4643231290255
249353824,21060668,0,2021-04-09T00:01:00Z,2021,April,Friday,12:01 AM,12 AM,"Grandview Ave & Kearsarge St Pittsburgh, PA 15211",N,Mount Washington,3,99,9999 9999 - (Misc. Incident):,1903,2,5,-80.009906471779,40.433347674042
249356220,21060624,10,2021-04-09T19:30:00Z,2021,April,Friday,07:30 PM,07 PM,"3000 Block Vensel Way Pittsburgh, PA 15212",N,Marshall-Shadeland,1,SIMPLE ASSAULT,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury",2715,1,1,-80.0287559800503,40.4719871300818
249356862,21060688,27,2021-04-09T20:30:00Z,2021,April,Friday,08:30 PM,08 PM,"2400 Block Brownsville Rd Pittsburgh, PA 15210",N,Carrick,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2904,4,3,-79.9835557643587,40.3869345976778
249364009,21060774,10,2021-04-09T22:40:00Z,2021,April,Friday,10:40 PM,10 PM,"3100 Block Bergman St Pittsburgh, PA 15204",N,Sheraden,6,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",2018,2,5,-80.0548705885976,40.4568937273452
249365032,21060857,6,2021-04-10T01:16:00Z,2021,April,Saturday,01:16 AM,01 AM,"N Lang Ave & Bennett St Pittsburgh, PA 15208",N,Homewood South,5,THEFT,3921 Theft by Unlawful Taking or Disposition.,1303,9,2,-79.8988964009407,40.4569788918079
249366594,21060901,10,2021-04-10T02:16:00Z,2021,April,Saturday,02:16 AM,02 AM,"1000 Block E Carson St Pittsburgh, PA 15203",N,South Side Flats,3,SIMPLE ASSAULT,2701 Simple Assault. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,1702,3,3,-79.9885400463659,40.4287030733853
249369821,21060926,10,2021-04-10T03:03:00Z,2021,April,Saturday,03:03 AM,03 AM,"2500 Block Chauncey Dr Pittsburgh, PA 15219",N,Bedford Dwellings,2,SIMPLE ASSAULT,2701 Simple Assault. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,509,6,3,-79.9738397090324,40.4509833047534
247946921,21047515,18,2021-03-21T12:17:00Z,2021,March,Sunday,12:17 PM,12 PM,"600 Block 1st Ave Pittsburgh, PA 15219",Y,Central Business District,2,STOLEN PROPERTY - OTHER,13(a)(31) Marijuana: Possession Small Amount / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(16) Possession of Controlled Substance / 1511 Carrying and Exhibiting Driver's License on Demand. / 1543 Driving While Operating Privilege is Suspended or Revoked. / 5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE / 3323 Stop Signs and Yield Signs.,201,6,6,-79.9960409452176,40.4350395659105
248584791,21054210,0,2021-03-27T00:30:00Z,2021,March,Saturday,12:30 AM,12 AM,"400 Block Grant St Pittsburgh, PA 15219",N,Central Business District,2,99,9999 9999 - (Misc. Incident): Twitter Comment,201,6,6,-79.9974986104995,40.4383790984651
248797207,21055494,6,2021-04-02T12:02:00Z,2021,April,Friday,12:02 PM,12 PM,"700 Block E Warrington Ave Pittsburgh, PA 15210",N,Allentown,3,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,1803,3,5,-79.9954887053187,40.4215189803883
248818183,21055692,11,2021-04-02T17:20:00Z,2021,April,Friday,05:20 PM,05 PM,"200 Block Hallock St Pittsburgh, PA 15211",N,Duquesne Heights,3,CREDIT CARDS,4106 Access Device Fraud / 4912 Impersonating a Public Servant. / 4120 Identity Theft / 2709(a)(5) Harassment Communicates Repeatedly in Anonymous Manner,1911,2,5,-80.0179967181303,40.4347860938041
248843641,21056019,99,2021-04-03T06:00:00Z,2021,April,Saturday,06:00 AM,06 AM,"Liberty Ave & Commonwealth Pl Pittsburgh, PA 15222",Y,Central Business District,2,MENTAL 201/302,9498 302 (Mental),201,6,6,-80.0068051594899,40.4410782570101
248867219,21056283,10,2021-04-03T15:04:00Z,2021,April,Saturday,03:04 PM,03 PM,"5200 Block Liberty Ave Pittsburgh, PA 15224",Y,Bloomfield,5,HARRASSMENT,2709 Harassment (Non-Specific),806,7,2,-79.9413451958523,40.4575346147175
248869558,21056313,6,2021-04-03T16:04:00Z,2021,April,Saturday,04:04 PM,04 PM,"1100 Block Gladys Ave Pittsburgh, PA 15216",N,Beechview,6,THEFT,3921 Theft by Unlawful Taking or Disposition. / 3503 Criminal Trespass,1916,4,5,-80.0243341265782,40.4180605035098
-3362041730,21046442,99,2021-03-19T17:17:00Z,2021,March,Friday,05:17 PM,05 PM,"Duart Way & Roll Way Pittsburgh, PA 15210",N,Knoxville,3,MISCELLANEOUS INVESTIGATION,9129 Miscellaneous Investigation,3001,3,5,-79.9911672249719,40.4100842882627
247736340,21046579,10,2021-03-19T21:15:00Z,2021,March,Friday,09:15 PM,09 PM,"200 Block 6th Ave Pittsburgh, PA 15222",N,Central Business District,2,RECKLESSLY ENDANGER ANOTH PER,2705 Recklessly Endangering Another Person. / 8106 Shots Fired,201,6,6,-80.0001971750407,40.4423287239074
248169017,21049744,14,2021-03-24T20:21:00Z,2021,March,Wednesday,08:21 PM,08 PM,"1500 Block Centre Ave Pittsburgh, PA 15219",N,Crawford-Roberts,2,CRIM MISCHIEF,3304 Criminal Mischief.,305,6,3,-79.9859219725429,40.4413656378271
248231246,21050209,27,2021-03-25T13:40:00Z,2021,March,Thursday,01:40 PM,01 PM,"200 Block Kennedy Ave Pittsburgh, PA 15214",N,Perry South,1,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2615,1,1,-80.0104557224723,40.4742894304884
248234910,21050237,99,2021-03-25T14:55:00Z,2021,March,Thursday,02:55 PM,02 PM,"800 Block E Warrington Ave Pittsburgh, PA 15210",N,Allentown,3,FOUND PROPERTY,9489 Found Property,1803,3,5,-79.9937050598573,40.4218022561637
248344647,21051492,99,2021-03-27T09:50:00Z,2021,March,Saturday,09:50 AM,09 AM,"De Soto St & 5th Ave Pittsburgh, PA 15213",Y,West Oakland,4,MENTAL 201/302,9498 302 (Mental),402,3,3,-79.9578571871105,40.4422187659261
249336854,21060372,14,2021-04-09T13:00:00Z,2021,April,Friday,01:00 PM,01 PM,"2700 Block Zephyr  Ave Pittsburgh, PA 15204",Y,Elliott,6,CRIM MISCHIEF,3304 Criminal Mischief. / 13(a)(31) Marijuana: Possession Small Amount,2020,2,5,-80.0493591534742,40.4530292535525
249342531,21060422,99,2021-04-09T15:15:00Z,2021,April,Friday,03:15 PM,03 PM,"2700 Block Mc Dowell St Pittsburgh, PA 15212",N,Marshall-Shadeland,1,FOUND PROPERTY,9489 Found Property,2715,1,1,-80.0264154232935,40.4698191465876
249349819,21060530,27,2021-04-09T17:28:00Z,2021,April,Friday,05:28 PM,05 PM,"200 Block Shiloh St Pittsburgh, PA 15211",N,Mount Washington,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1914,2,5,-80.0075755531971,40.4307271111596
247818258,21047433,99,2021-03-21T08:10:00Z,2021,March,Sunday,08:10 AM,08 AM,"S 17th St & E Carson St Pittsburgh, PA 15203",N,South Side Flats,3,FOUND PROPERTY,9489 Found Property,1702,3,3,-79.9820508989135,40.4288428977869
247967003,21048190,99,2021-03-22T14:55:00Z,2021,March,Monday,02:55 PM,02 PM,"7100 Block Mt Vernon St Pittsburgh, PA 15208",N,Homewood North,5,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),1302,9,2,-79.8974193659496,40.4618616016294
247972911,21048218,27,2021-03-22T15:40:00Z,2021,March,Monday,03:40 PM,03 PM,"2nd Ave & Blair St Pittsburgh, PA 15213",N,South Oakland,4,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,409,3,3,-79.9551316058971,40.4273725916833
247973143,21048294,99,2021-03-22T17:20:00Z,2021,March,Monday,05:20 PM,05 PM,"4900 Block Kinley Ave Pittsburgh, PA 15207",N,Lincoln Place,4,DOG BITE,9492 Dog Bite,3102,5,3,-79.91372308898,40.3751919162624
248171652,21049766,27,2021-03-24T20:25:00Z,2021,March,Wednesday,08:25 PM,08 PM,"Travella Blvd & Funston Ave Pittsburgh, PA 15206",N,Lincoln-Lemington-Belmar,5,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1202,9,2,-79.8886261937824,40.472271217474
248179509,21049906,18,2021-03-25T01:23:00Z,2021,March,Thursday,01:23 AM,01 AM,"Shiras Ave & Broadway Ave Pittsburgh, PA 15216",Y,Beechview,6,STOLEN PROPERTY,13(a)(31) Marijuana: Possession Small Amount / 3802(c) DUI - Highest Rate of Alcohol - BAC >= .16% / 3802(a)(1) DUI - General Impairment,1920,4,5,-80.0302824178447,40.4039215807562
249343613,21060483,0,2021-04-09T16:09:00Z,2021,April,Friday,04:09 PM,04 PM,"1600 Block Brownsville Rd Pittsburgh, PA 15210",N,Carrick,3,99,9998 Overdose Other,2902,4,3,-79.9890669688938,40.3998045691587
249349425,21060584,5,2021-04-09T08:56:00Z,2021,April,Friday,08:56 AM,08 AM,"1300 Block Collier St Pittsburgh, PA 15208",Y,Homewood North,5,BURGLARY,3502 Burglary. / 9093 Indirect Criminal Contempt,1302,9,2,-79.8905161949486,40.4593613623312
249359443,21060685,99,2021-04-09T20:50:00Z,2021,April,Friday,08:50 PM,08 PM,"2500 Block Plainview Ave Pittsburgh, PA 15226",N,Brookline,6,AIDED CASE,9497 Aided Case,1919,4,5,-80.024314978029,40.3982405354815
249364788,21060815,14,2021-04-10T00:21:00Z,2021,April,Saturday,12:21 AM,12 AM,"1300 Block Paulson Ave Pittsburgh, PA 15206",N,Lincoln-Lemington-Belmar,5,CRIM MISCHIEF,3304 Criminal Mischief.,1203,9,2,-79.9011653372096,40.4686267994031
249364822,21060835,5,2021-04-10T00:01:00Z,2021,April,Saturday,12:01 AM,12 AM,"5800 Block Northumberland St Pittsburgh, PA 15217",N,Squirrel Hill North,4,BURGLARY,3502 Burglary.,1403,8,3,-79.9233366419934,40.4414229997783
249370789,21060816,0,2021-04-10T00:23:00Z,2021,April,Saturday,12:23 AM,12 AM,"Liberty Ave & 17th St Pittsburgh, PA 15222",N,Strip District,2,99,9999 9999 - (Misc. Incident):,203,7,6,-79.9853973585768,40.4491594662836
