Description,Incident #,Location,Agency,incident_datetime,incident_date,incident_month,incident_day_of_week,incident_time_24hr_clock,incident_time_hour,time_ampm,street_address,city,state,lat,long
POSSESS CONTROLLED SUBSTANCE,2102367,12200 BLOCK CENTRAL AVE,Chino Police,3/18/2021 15:25,3/18/2021,March,Thursday,15:25,03 PM,PM,12250 CENTRAL AVE,Chino,CA,34.031708,-117.689445
USE/UNDER INFLUENCE OF CONTROLLED SUBSTANCE,2102352,12200 BLOCK CENTRAL AVE,Chino Police,3/18/2021 2:32,3/18/2021,March,Thursday, 2:32,02 AM,AM,12250 CENTRAL AVE,Chino,CA,34.031708,-117.689445
THEFT BY USE OF ACCESS CARD INFORMATION,2102668,12100 BLOCK CENTRAL AVE,Chino Police,3/28/2021 0:00,3/28/2021,March,Sunday, 0:00,12 AM,AM,12150 CENTRAL AVE,Chino,CA,34.03239,-117.68945
PARAPHERNALIA - POSSESS UNLAWFUL,2102608,12100 BLOCK CENTRAL AVE,Chino Police,3/26/2021 15:06,3/26/2021,March,Friday,15:06,03 PM,PM,12150 CENTRAL AVE,Chino,CA,34.03239,-117.68945
PARAPHERNALIA - POSSESS UNLAWFUL,2102576,12100 BLOCK CENTRAL AVE,Chino Police,3/25/2021 12:40,3/25/2021,March,Thursday,12:40,12 PM,PM,12150 CENTRAL AVE,Chino,CA,34.03239,-117.68945
PARAPHERNALIA - POSSESS UNLAWFUL,2102536,12100 BLOCK CENTRAL AVE,Chino Police,3/24/2021 6:51,3/24/2021,March,Wednesday, 6:51,06 AM,AM,12150 CENTRAL AVE,Chino,CA,34.03239,-117.68945
POSSESS CONTROLLED SUBSTANCE,2102599,12100 BLOCK SERRA AVE,Chino Police,3/26/2021 9:00,3/26/2021,March,Friday, 9:00,09 AM,AM,12150 SERRA AVE,Chino,CA,34.032436,-117.700775
GRAND THEFT,2102770,12100 BLOCK RAMONA AVE,Chino Police,3/31/2021 11:14,3/31/2021,March,Wednesday,11:14,11 AM,AM,12150 RAMONA AVE,Chino,CA,34.032616,-117.70688
TAKE AUTO W/O OWNER`S CONSENT/VEHICLE THEFT,2102413,12100 BLOCK RAMONA AVE,Chino Police,3/20/2021 3:00,3/20/2021,March,Saturday, 3:00,03 AM,AM,12150 RAMONA AVE,Chino,CA,34.032616,-117.70688
ASSAULT DEADLY WEAPON: NOT FIREARM,2102356,5100 BLOCK REVERE ST,Chino Police,3/18/2021 10:24,3/18/2021,March,Thursday,10:24,10 AM,AM,5150 REVERE ST,Chino,CA,34.032665,-117.6927
PARAPHERNALIA - POSSESS UNLAWFUL,2102341,REVERE ST/BRIDGER AVE,Chino Police,3/17/2021 16:50,3/17/2021,March,Wednesday,16:50,04 PM,PM,REVERE ST & BRIDGER AVE,Chino,CA,34.032665,-117.69164
POSSESS CONTROLLED SUBSTANCE,2102368,12000 BLOCK CENTRAL AVE,Chino Police,3/18/2021 16:39,3/18/2021,March,Thursday,16:39,04 PM,PM,12050 CENTRAL AVE,Chino,CA,34.033077,-117.68946
PARAPHERNALIA - POSSESS UNLAWFUL,2102509,4500 BLOCK PHILADELPHIA ST,Chino Police,3/23/2021 9:52,3/23/2021,March,Tuesday, 9:52,09 AM,AM,4550 PHILADELPHIA ST,Chino,CA,34.0335,-117.7057
TAKE VEHICLE W/O OWNER`S CONSENT/VEHICLE THEFT,2102986,5400 BLOCK PHILADELPHIA ST,Chino Police,4/6/2021 18:42,4/6/2021,April,Tuesday,18:42,06 PM,PM,5450 PHILADELPHIA ST,Chino,CA,34.033627,-117.68436
PETTY THEFT - FROM BUILDINGS,2102605,5500 BLOCK PHILADELPHIA ST,Chino Police,3/26/2021 12:10,3/26/2021,March,Friday,12:10,12 PM,PM,5550 PHILADELPHIA ST,Chino,CA,34.033627,-117.68345
ACQUIRE ACCESS CARD ACCOUNT INFORMATION W/O CONSENT,2102501,12000 BLOCK MONTE VISTA AVE,Chino Police,3/22/2021 23:20,3/22/2021,March,Monday,23:20,11 PM,PM,12050 MONTE VISTA AVE,Chino,CA,34.034245,-117.69818
PETTY THEFT - MAIL OR PACKAGE,2102493,4900 BLOCK HANCOCK ST,Chino Police,3/22/2021 15:57,3/22/2021,March,Monday,15:57,03 PM,PM,4950 HANCOCK ST,Chino,CA,34.034992,-117.696884
TAKE AUTO W/O OWNER`S CONSENT/VEHICLE THEFT,2102619,4800 BLOCK HANCOCK ST,Chino Police,3/26/2021 22:09,3/26/2021,March,Friday,22:09,10 PM,PM,4850 HANCOCK ST,Chino,CA,34.035,-117.698494
BURGLARY - COMMERCIAL - ATTEMPTED FORCED ENTRY,2102547,11900 BLOCK CENTRAL AVE,Chino Police,3/23/2021 23:30,3/23/2021,March,Tuesday,23:30,11 PM,PM,11950 CENTRAL AVE,Chino,CA,34.03506,-117.689476
POSSESS CONTROLLED SUBSTANCE,2102515,11900 BLOCK CENTRAL AVE,Chino Police,3/23/2021 12:33,3/23/2021,March,Tuesday,12:33,12 PM,PM,11950 CENTRAL AVE,Chino,CA,34.03506,-117.689476
PETTY THEFT - OTHER,2102527,11900 BLOCK CENTRAL AVE,Chino Police,3/22/2021 16:00,3/22/2021,March,Monday,16:00,04 PM,PM,11950 CENTRAL AVE,Chino,CA,34.03506,-117.689476
TAKE TRUCK/BUS W/O OWNER`S CONSENT/VEHICLE THEFT,2102358,11900 BLOCK CENTRAL AVE,Chino Police,3/18/2021 10:03,3/18/2021,March,Thursday,10:03,10 AM,AM,11950 CENTRAL AVE,Chino,CA,34.03506,-117.689476
BURGLARY - RESIDENTIAL - FORCED ENTRY,2102314,11900 BLOCK TELEPHONE AVE,Chino Police,3/16/2021 15:05,3/16/2021,March,Tuesday,15:05,03 PM,PM,11950 TELEPHONE AVE,Chino,CA,34.036015,-117.69385
BURGLARY - GARAGE - FORCED ENTRY,2102443,11800 BLOCK CENTRAL AVE,Chino Police,3/20/2021 21:14,3/20/2021,March,Saturday,21:14,09 PM,PM,11850 CENTRAL AVE,Chino,CA,34.03722,-117.68949
PETTY THEFT - BICYCLES,2102430,11800 BLOCK CENTRAL AVE,Chino Police,3/20/2021 4:00,3/20/2021,March,Saturday, 4:00,04 AM,AM,11850 CENTRAL AVE,Chino,CA,34.03722,-117.68949
BURGLARY - RESIDENTIAL - NO FORCED ENTRY,2102320,11800 BLOCK TELEPHONE AVE,Chino Police,3/16/2021 14:50,3/16/2021,March,Tuesday,14:50,02 PM,PM,11850 TELEPHONE AVE,Chino,CA,34.038555,-117.69386
PETTY THEFT - FROM MOTOR VEHICLES,2102508,4900 BLOCK ADAMS ST,Chino Police,3/23/2021 0:00,3/23/2021,March,Tuesday, 0:00,12 AM,AM,4950 ADAMS ST,Chino,CA,34.039017,-117.69766
GRAND THEFT - MOTOR VEH PARTS,2102706,4900 BLOCK TAFT AVE,Chino Police,3/27/2021 2:40,3/27/2021,March,Saturday, 2:40,02 AM,AM,4950 TAFT AVE,Chino,CA,34.039898,-117.697235
TAKE AUTO W/O OWNER`S CONSENT/VEHICLE THEFT,2102734,4900 BLOCK FRANCIS AVE,Chino Police,3/29/2021 3:30,3/29/2021,March,Monday, 3:30,03 AM,AM,4950 FRANCIS AVE,Chino,CA,34.04079,-117.696976
TAKE VEHICLE W/O OWNER`S CONSENT/VEHICLE THEFT,2103275,4900 BLOCK FRANCIS AVE,Chino Police,4/13/2021 20:00,4/13/2021,April,Tuesday,20:00,08 PM,PM,4950 FRANCIS AVE,Chino,CA,34.04079,-117.696976
PARAPHERNALIA - POSSESS UNLAWFUL,2102653,5200 BLOCK FRANCIS AVE,Chino Police,3/28/2021 6:45,3/28/2021,March,Sunday, 6:45,06 AM,AM,5250 FRANCIS AVE,Chino,CA,34.040833,-117.69056
POSSESS CONTROLLED SUBSTANCE,2102556,11600 BLOCK RAMONA AVE,Chino Police,3/24/2021 21:56,3/24/2021,March,Wednesday,21:56,09 PM,PM,11650 RAMONA AVE,Chino,CA,34.041874,-117.70696
"FRAUD, IDENTITY THEFT",210830037,15100 BLOCK FAIRFIELD RANCH RD,Chino Hills Police,3/24/2021 8:27,3/24/2021,March,Wednesday, 8:27,08 AM,AM,15150 FAIRFIELD RANCH RD,Chino,CA,33.9790556,-117.6990347
ALCOHOL SALES TO MINOR,210920065,15400 BLOCK FAIRFIELD RANCH RD,Chino Hills Police,4/2/2021 18:00,4/2/2021,April,Friday,18:00,06 PM,PM,15450 FAIRFIELD RANCH RD,Chino,CA,33.9721282,-117.6906578
GRAND THEFT: AUTO,2103311,4400 BLOCK CHINO HILLS PKWY,Chino Police,4/14/2021 22:30,4/14/2021,April,Wednesday,22:30,10 PM,PM,4450 CHINO HILLS PKWY,Chino,CA,33.9828108,-117.7097264
BATTERY,2102615,6300 BLOCK SOUTHWESTERN ST,Chino Police,3/26/2021 20:25,3/26/2021,March,Friday,20:25,08 PM,PM,6350 SOUTHWESTERN ST,Chino,CA,33.9927276,-117.674922
PARAPHERNALIA - POSSESS UNLAWFUL,2102381,CENTRAL AVE/RIVERSIDE DR,Chino Police,3/19/2021 3:09,3/19/2021,March,Friday, 3:09,03 AM,AM,CENTRAL AVE & RIVERSIDE DR,Chino,CA,34.0190637,-117.6915673
POSS OF CONTROLLED SUBSTANCE,210810012,CHINO HILLS PKWY / RAMONA AVE,Chino Hills Police,3/22/2021 2:13,3/22/2021,March,Monday, 2:13,02 AM,AM,CHINO HILLS PKWY  &  RAMONA AVE,Chino,CA,33.9827197,-117.7086477
DRUNK IN PUBLIC,211040061,FAIRFIELD RANCH RD / CENTRAL AVE,Chino Hills Police,4/14/2021 11:47,4/14/2021,April,Wednesday,11:47,11 AM,AM,FAIRFIELD RANCH RD  &  CENTRAL AVE,Chino,CA,33.9716108,-117.6909731
PARAPHERNALIA - POSSESS UNLAWFUL,2102422,SCHAEFER AVE/OAKS AVE,Chino Police,3/20/2021 10:33,3/20/2021,March,Saturday,10:33,10 AM,AM,SCHAEFER AVE & OAKS AVE,Chino,CA,34.0046095,-117.6760998
